№,F1
06.35,0.09
06.39,0.0
06.51,0.58
06.52,0.48
06.54,0.74
06.71,0.57
06.73,0.76
06.75,0.63
15.21,0.41
15.31,0.47
15.41,0.55
15.81,0.58
19.51,0.51
20.01,0.53
20.23,0.49
20.53,0.07
27.17,0.45
27.25,0.36
27.29,0.34
27.35,0.21
27.39,0.28
27.43,0.28
27.45,0.74
27.47,0.12
28.15,0.55
28.17,0.0
28.23,0.46
28.25,0.0
29.05,0.69
29.15,0.47
29.17,0.0
29.19,0.67
29.27,0.55
29.31,0.54
29.33,0.3
29.35,0.38
29.37,0.36
30.15,0.47
30.17,0.53
30.19,0.47
30.51,0.11
31.01,0.32
31.15,0.57
31.17,0.41
31.19,0.73
31.21,0.67
31.23,0.56
31.25,0.55
34.03,0.64
34.15,0.65
34.19,0.26
34.23,0.59
34.25,0.75
34.27,0.56
34.29,0.53
34.31,0.25
34.33,0.83
34.35,0.67
34.39,0.67
34.41,0.18
34.43,0.33
34.45,0.36
34.47,0.66
34.49,0.2
36.16,0.23
36.23,0.28
36.29,0.18
37.15,0.41
37.21,0.46
37.23,0.54
37.25,0.55
37.27,0.34
37.31,0.69
38.33,0.5
38.35,0.5
38.37,0.48
38.49,0.63
38.53,0.62
38.55,0.34
38.57,0.42
38.59,0.66
38.61,0.41
38.63,0.51
39.01,0.35
39.19,0.66
39.21,0.0
39.23,0.43
39.25,0.51
41.03,0.57
41.17,0.5
41.19,0.71
41.21,0.74
41.23,0.6
41.25,0.06
41.27,0.63
41.29,0.64
41.51,0.18
44.01,0.58
44.09,0.41
44.29,0.69
44.31,0.61
44.33,0.85
44.35,0.76
44.37,0.89
44.39,0.82
44.41,0.33
45.09,0.52
45.29,0.67
45.31,0.06
45.37,0.75
45.41,0.83
45.51,0.88
45.53,0.6
47.05,0.28
47.09,0.16
47.33,0.51
47.35,0.72
47.45,0.67
47.49,0.35
47.51,0.57
49.03,0.3
49.33,0.19
49.43,0.58
49.44,0.69
50.01,0.01
50.05,0.05
50.07,0.17
50.09,0.02
50.33,0.04
50.41,0.21
50.49,0.1
52.01,0.36
52.13,0.53
52.45,0.4
52.47,0.66
53.01,0.2
53.03,0.24
53.07,0.07
53.31,0.59
53.37,0.43
53.39,0.61
53.41,0.03
53.43,0.33
53.49,0.64
55.03,0.34
55.09,0.09
55.15,0.55
55.16,0.05
55.19,0.5
55.22,0.44
55.29,0.65
55.30,0.77
55.31,0.61
55.33,0.18
55.37,0.42
55.39,0.32
55.41,0.67
55.42,0.57
55.43,0.71
55.45,0.7
55.47,0.65
55.49,0.61
55.51,0.47
55.53,0.42
55.57,0.68
55.63,0.32
60.29,0.76
61.01,0.3
61.13,0.09
61.31,0.09
61.35,0.6
61.37,0.01
61.41,0.31
61.45,0.56
61.49,0.41
61.51,0.47
61.53,0.63
61.57,0.5
61.61,0.45
61.65,0.26
62.01,0.07
62.13,0.21
62.37,0.02
62.61,0.03
62.99,0.26
64.29,0.72
65.01,0.64
65.33,0.77
65.59,0.68
65.63,0.61
67.25,0.52
68.01,0.8
68.03,0.44
68.05,0.59
68.35,0.64
68.37,0.52
68.47,0.69
70.17,0.0
70.25,0.63
70.27,0.46
73.01,0.71
73.29,0.71
73.31,0.66
73.34,0.69
73.37,0.7
73.39,0.74
73.41,0.58
73.43,0.75
73.47,0.48
75.31,0.33
76.03,0.51
76.29,0.67
76.31,0.58
76.33,0.34
76.35,0.78
81.33,0.54
81.35,0.57
81.79,0.79
81.92,0.81
81.93,0.5
82.13,0.73
82.15,0.72
82.17,0.81
87.01,0.25
87.03,0.57
87.15,0.0
87.17,0.41
87.19,0.57
87.21,0.52
87.25,0.26
87.26,0.08
87.31,0.59
87.33,0.31
87.51,0.02
87.53,0.69
89.01,0.38
89.15,0.59
89.17,0.55
89.23,0.53
89.25,0.61
89.29,0.73
89.51,0.63
89.53,0.59
89.57,0.68
90.01,0.0
90.27,0.32
